country,time_zone,time_zone_group,station,latitude,longitude,is_city,is_main_station,is_airport
FR,"('Europe/Paris',)",CET,Bellegarde-sur-Valserine,46.109425,5.823483,False,True,False
FR,"('Europe/Paris',)",CET,Bellegarde-sur-Valserine Lycee Musinens,46.115336,5.794132,False,False,False
FR,"('Europe/Paris',)",CET,Briouze,48.7018622,-0.3682036,False,False,False
FR,"('Europe/Paris',)",CET,Calais Ville,50.952613,1.848185,False,True,False
FR,"('Europe/Paris',)",CET,Boulogne-sur-Mer Ville,50.7157,1.60964,False,True,False
FR,"('Europe/Paris',)",CET,Allenc,44.541296,3.6638926,False,False,False
FR,"('Europe/Paris',)",CET,Pau,43.291762,-0.369626,False,True,False
FR,"('Europe/Paris',)",CET,Hendaye,43.353132,-1.781724,True,False,False
FR,"('Europe/Paris',)",CET,Strasbourg,48.584967,7.734584,False,True,False
FR,"('Europe/Paris',)",CET,Mertzwiller,48.866667,7.683333,True,False,False
FR,"('Europe/Paris',)",CET,Mertzwiller,48.872013,7.6781895,False,True,False
FR,"('Europe/Paris',)",CET,Colmar,48.073201,7.346967,False,True,False
FR,"('Europe/Paris',)",CET,Mulhouse,47.742224,7.342396,True,False,False
FR,"('Europe/Paris',)",CET,St-Louis (Haut Rhin),47.583333,7.566667,True,False,False
FR,"('Europe/Paris',)",CET,St-Louis La-Chaussee,47.6094781,7.5312095,False,False,False
FR,"('Europe/Paris',)",CET,St-Louis,47.5906094,7.5559882,False,True,False
FR,"('Europe/Paris',)",CET,Thann,,,True,False,False
FR,"('Europe/Paris',)",CET,Thann,47.8088208,7.1069795,False,True,False
FR,"('Europe/Paris',)",CET,Thann-St-Jacques,47.8133155,7.0938473,False,False,False
FR,"('Europe/Paris',)",CET,Givors Canal,45.5957662,4.7725754,False,False,False
FR,"('Europe/Paris',)",CET,Aspach-le-Haut,47.65,7.233333,True,False,False
FR,"('Europe/Paris',)",CET,Aspach-le-Haut,47.769396,7.142379,False,True,False
FR,"('Europe/Paris',)",CET,Aspach-le-Bas,47.759832,7.152375,False,False,False
FR,"('Europe/Paris',)",CET,Avignon Centre,43.9419,4.805281,False,True,False
FR,"('Europe/Paris',)",CET,Le Mans,47.995034,0.19014,False,False,False
FR,"('Europe/Paris',)",CET,Joue-les-Tours Berthelot,47.35,0.666667,False,False,False
FR,"('Europe/Paris',)",CET,Eu,50.05,1.416667,True,False,False
FR,"('Europe/Paris',)",CET,Eu-la-Mouillette,50.04890671485088,1.4253687858581543,False,False,False
FR,"('Europe/Paris',)",CET,Eu,50.0541988,1.416837,False,True,False
FR,"('Europe/Paris',)",CET,Alleyras,44.919217,3.673517,False,False,False
FR,"('Europe/Paris',)",CET,Le Havre,49.492996,0.125677,True,False,False
FR,"('Europe/Paris',)",CET,Harfleur,49.506596,0.198269,True,False,False
FR,"('Europe/Paris',)",CET,Harfleur-Halte,49.5059181,0.192085,False,False,False
FR,"('Europe/Paris',)",CET,Harfleur,49.5136336,0.1989828,False,True,False
FR,"('Europe/Paris',)",CET,Montivilliers,49.55,0.2,True,False,False
FR,"('Europe/Paris',)",CET,Montivilliers,49.5429758,0.189426,False,True,False
FR,"('Europe/Paris',)",CET,Dieppe,49.921788,1.081133,False,True,False
FR,"('Europe/Paris',)",CET,Fontainebleau-Avon,48.416371,2.72634,False,False,False
FR,"('Europe/Paris',)",CET,Peronne,50.0,2.65,True,False,False
FR,"('Europe/Paris',)",CET,Peronne Centre,49.934997,2.938987,False,True,False
FR,"('Europe/Paris',)",CET,Peronne la Chapelette,49.924488,2.933359,False,False,False
FR,"('Europe/Paris',)",CET,Albi Ville,43.92238,2.137958,False,True,False
FR,"('Europe/Paris',)",CET,Orleans Centre,47.90796,1.904666,False,True,False
FR,"('Europe/Paris',)",CET,Vendome,47.8021498,1.0678728,False,False,False
FR,"('Europe/Paris',)",CET,Frejus,43.432032,6.732941,True,False,False
FR,"('Europe/Paris',)",CET,Fontenay-le-Comte,46.46785957735252,-0.809592604637146,False,True,False
FR,"('Europe/Paris',)",CET,Acheux-Franleu,50.0826021,1.6574207,False,False,False
FR,"('Europe/Paris',)",CET,St-Hilaire-de-Riez,,,True,False,False
FR,"('Europe/Paris',)",CET,St-Hilaire-de-Riez,46.7166736,-1.9496838,False,True,False
FR,"('Europe/Paris',)",CET,St-Hilaire-de-Riez Centre,46.718728,-1.944618,False,False,False
FR,"('Europe/Paris',)",CET,La Clayette-Baudemont,46.2881469,4.2984195,False,False,False
FR,"('Europe/Paris',)",CET,Tours,47.389781,0.693703,False,True,False
FR,"('Europe/Paris',)",CET,Cambrai,50.17662,3.24118,False,False,False
FR,"('Europe/Paris',)",CET,Aiguebelle,45.5437225,6.3067175,False,False,False
FR,"('Europe/Paris',)",CET,Agen,44.208311,0.620932,False,False,False
FR,"('Europe/Paris',)",CET,Ervy-le-Chatel Halles,48.033333,3.916667,False,False,False
FR,"('Europe/Paris',)",CET,Fays-la-Chapelle,48.133333,4.016667,False,False,False
FR,"('Europe/Paris',)",CET,Agonac,45.2865966,0.7486706,False,False,False
FR,"('Europe/Paris',)",CET,Limoges Benedictins,45.836089,1.267356,False,True,False
